Open-time,Open,High,Low,Close,Volume,Close-time,Quote-asset-volume,Number-of-trades,Taker-buy-base-asset-volume,Taker-buy-quote-asset-volume,Ignore
1770648900000000,69341.46,69408.24,69113.96,69259.41,0.55836,1770649199999999,38651.7950944,108,0.13369,9256.8305183,0
1770649200000000,69308.47,69655.48,69286.46,69637.09,0.21885,1770649499999999,15203.618259,71,0.11716,8141.2063975,0
1770649500000000,69768.66,69815.78,69525.06,69525.06,0.15651,1770649799999999,10913.6499628,59,0.08993,6272.8659801,0
1770649800000000,69535.78,69546.82,69370.51,69425.2,0.03735,1770650099999999,2594.4028979,25,0.01072,744.7503072,0
1770650100000000,69507.93,69623.95,69240.81,69285.11,0.19848,1770650399999999,13768.0709402,36,0.07393,5135.6657369,0
1770650400000000,69302.06,69381.64,68973.4,69023.99,0.59032,1770650699999999,40868.1811632,54,0.52261,36188.0720011,0
1770650700000000,68968.26,68968.26,68774.21,68903.83,0.47257,1770650999999999,32542.2309151,33,0.04883,3361.927727,0
1770651000000000,68923.2,69090.19,68816.68,68991.28,0.18339,1770651299999999,12655.1023433,37,0.06809,4703.7026375,0
1770651300000000,69013.69,69483.73,69013.69,69381.3,0.09728,1770651599999999,6741.4808085,53,0.03241,2244.1907476,0
1770651600000000,69431.63,69613.26,69360.6,69502.25,0.51101,1770651899999999,35517.3320007,46,0.37794,26269.2429516,0
1770651900000000,69507.51,69507.53,69267.22,69396.27,0.27019,1770652199999999,18756.2741993,19,0.13196,9149.8202261,0
1770652200000000,69381.65,69433.85,69178.86,69433.85,0.22872,1770652499999999,15840.394344,19,0.2082,14419.6006842,0
1770652500000000,69491.66,69534.08,69422.5,69459.83,0.07541,1770652799999999,5240.1177438,40,0.00557,387.1648615,0
1770652800000000,69524.13,69663.31,69364.5,69457.13,0.02638,1770653099999999,1832.4966478,21,0.00688,478.0411981,0
1770653100000000,69437.97,69448.68,69117.83,69195.32,0.03987,1770653399999999,2762.9458404,28,0.03505,2428.4697697,0
1770653400000000,69196.87,69309.18,69060.48,69184.66,0.30719,1770653699999999,21242.398211,57,0.13014,8999.9661263,0
1770653700000000,69203.12,69355.68,69141.07,69189.29,0.24697,1770653999999999,17104.948367,42,0.10587,7327.748487,0
1770654000000000,69250.69,69450.53,69250.69,69437.17,0.22483,1770654299999999,15596.2322281,28,0.16143,11196.9606248,0
1770654300000000,69437.45,69593.51,69381.41,69593.51,0.05346,1770654599999999,3716.8636065,10,0.05317,3696.7429976,0
1770654600000000,69582.76,69663.87,69373.81,69406.6,0.0381,1770654899999999,2649.6459093,16,0.02361,1642.3305234,0
1770654900000000,69394.59,69479.0,69355.01,69393.5,0.0319,1770655199999999,2214.9215259,12,0.02305,1600.5929792,0
1770655200000000,69482.55,69990.41,69447.21,69904.04,0.41934,1770655499999999,29209.6848956,57,0.20319,14170.7377964,0
1770655500000000,69883.12,70344.35,69883.12,70101.46,0.4949,1770655799999999,34725.9060407,62,0.25363,17805.2171914,0
1770655800000000,70068.61,70127.77,69887.44,70031.67,0.23102,1770656099999999,16177.4367082,37,0.18928,13256.3127145,0
1770656100000000,70040.55,70172.01,70018.8,70018.84,0.1461,1770656399999999,10242.0964887,40,0.09838,6896.8261028,0
1770656400000000,70088.62,70264.72,70085.7,70209.46,0.05843,1770656699999999,4101.6239206,41,0.00205,143.8601199,0
1770656700000000,70224.4,70224.4,69961.07,69995.9,0.35207,1770656999999999,24677.7255764,41,0.12375,8670.9986797,0
1770657000000000,70017.5,70093.6,69854.87,69857.33,0.21433,1770657299999999,14985.0873813,42,0.00159,111.1030246,0
1770657300000000,69883.55,70147.98,69883.55,70111.27,0.15929,1770657599999999,11153.0045209,33,0.1052,7362.4408575,0
1770657600000000,70048.99,70088.78,69926.52,69926.52,0.55967,1770657899999999,39179.5571186,31,0.18675,13082.6679901,0
1770657900000000,69924.77,69997.34,69856.42,69987.94,0.06211,1770658199999999,4346.8717858,14,0.04618,3232.398023,0
1770658200000000,70006.65,70287.37,69995.87,70145.52,0.22544,1770658499999999,15832.4019549,34,0.02235,1567.8297245,0
1770658500000000,70093.97,70548.01,70093.88,70481.85,0.46155,1770658799999999,32471.694442,51,0.07496,5271.2510623,0
1770658800000000,70518.53,70923.71,70518.53,70854.15,0.33177,1770659099999999,23420.307632,23,0.31618,22317.1914837,0
1770659100000000,70825.73,70873.44,70672.08,70775.91,0.19276,1770659399999999,13658.7985161,17,0.04057,2874.0523349,0
1770659400000000,70730.59,70823.89,70668.64,70673.43,0.17121,1770659699999999,12114.981971,21,0.16075,11375.6889524,0
1770659700000000,70681.46,70768.17,70577.86,70591.24,0.03799,1770659999999999,2686.3702565,20,0.02449,1732.2310063,0
1770660000000000,70559.23,70843.09,70539.06,70816.94,0.0166,1770660299999999,1171.595392,17,9e-05,6.3526059,0
1770660300000000,70812.49,70812.49,70533.99,70533.99,0.34667,1770660599999999,24504.4221745,15,0.07997,5653.6369825,0
1770660600000000,70494.62,70592.76,70458.61,70468.54,0.06955,1770660899999999,4904.8013189,16,0.03211,2264.5398331,0
1770660900000000,70541.4,70541.4,70321.6,70428.83,0.27049,1770661199999999,19050.803017,15,0.20833,14672.8057377,0
1770661200000000,70500.02,70500.02,70127.91,70220.54,0.16341,1770661499999999,11476.66038,23,0.10932,7678.3961138,0
1770661500000000,70189.03,70192.71,70157.19,70192.71,0.05553,1770661799999999,3897.7871479,4,0.05553,3897.7871479,0
1770661800000000,70279.58,70432.29,70154.72,70430.78,0.1161,1770662099999999,8148.2355459,15,0.00184,129.4092706,0
1770662100000000,70442.07,70442.07,70279.16,70287.51,0.0146,1770662399999999,1026.3433625,6,0.00454,319.1052954,0
1770662400000000,70272.63,70425.15,70272.61,70425.15,0.00062,1770662699999999,43.5797042,3,7e-05,4.9297605,0
1770662700000000,70465.3,70465.3,70369.41,70369.41,0.01492,1770662999999999,1050.6373874,7,0.00832,585.9959719,0
1770663000000000,70370.68,70408.87,70246.8,70246.8,0.01288,1770663299999999,905.6223903,11,0.00047,33.0742196,0
1770663300000000,70297.58,70330.49,70297.58,70299.29,0.16856,1770663599999999,11849.5185475,6,0.12269,8624.8901152,0
1770663600000000,70347.14,70474.53,70306.08,70436.8,0.24227,1770663899999999,17045.0758764,6,0.15082,10603.6421571,0
1770663900000000,70402.61,70402.61,70358.19,70358.19,0.04462,1770664199999999,3141.2120976,2,0.04462,3141.2120976,0
1770664200000000,70436.76,70482.38,70402.61,70482.38,0.18681,1770664499999999,13158.4757987,11,0.18603,13103.5529919,0
1770664500000000,70464.23,70580.26,70445.79,70476.98,0.24842,1770664799999999,17509.4161978,13,0.24119,16999.6740942,0
1770664800000000,70484.75,70581.78,70464.13,70581.78,0.08915,1770665099999999,6284.698667,13,0.08901,6274.8336888,0
1770665100000000,70611.51,70655.22,70608.89,70608.89,0.02262,1770665399999999,1597.3800584,6,0.02248,1587.4883276,0
1770665400000000,70712.44,70712.44,70712.44,70712.44,0.00014,1770665699999999,9.8997416,1,0.0,0.0,0
1770665700000000,70826.92,70826.92,70791.46,70791.46,0.00028,1770665999999999,19.8265732,2,0.0,0.0,0
1770666000000000,70871.74,70916.49,70871.74,70916.49,0.01473,1770666299999999,1044.4125584,4,0.01052,746.04142,0
1770666300000000,70951.38,70951.38,70772.87,70793.48,0.01583,1770666599999999,1121.8660033,6,0.01569,1111.9578015,0
1770666600000000,70930.13,70977.63,70867.53,70913.23,0.56931,1770666899999999,40383.3376151,41,0.30234,21443.5421206,0
1770666900000000,70983.56,71018.31,70889.48,70889.48,0.40382,1770667199999999,28668.968114,13,0.15308,10867.4750564,0
1770667200000000,70775.81,70828.4,70722.04,70772.78,0.34689,1770667499999999,24551.122805,15,0.17874,12650.1842613,0
1770667500000000,70890.05,71091.79,70890.05,71005.87,0.02513,1770667799999999,1784.2182443,11,0.0233,1654.3214405,0
1770667800000000,70995.34,71062.64,70972.59,71032.78,0.05224,1770668099999999,3709.383469,15,0.0372,2641.9544288,0
1770668100000000,70884.68,70884.68,70642.01,70642.01,0.0123,1770668399999999,869.7145329,7,0.00949,670.5625559,0
1770668400000000,70608.06,70676.89,70515.09,70676.89,0.21257,1770668699999999,15004.8421531,11,0.06245,4405.1819924,0
1770668700000000,70623.86,70623.86,70499.93,70533.89,0.0297,1770668999999999,2095.5303475,10,0.02928,2065.9170169,0
1770669000000000,70533.9,70655.28,70502.24,70589.68,0.26397,1770669299999999,18636.531041,24,0.0805,5682.6152138,0
1770669300000000,70585.81,70656.78,70585.81,70656.78,0.06704,1770669599999999,4732.3093619,10,0.06677,4713.2511878,0
1770669600000000,70734.63,70795.36,70707.96,70795.36,0.3812,1770669899999999,26968.9954349,11,0.21238,15027.5761295,0
1770669900000000,70808.88,70817.45,70696.31,70803.78,0.41769,1770670199999999,29549.4020506,19,0.21062,14901.1406933,0
